win,points,computer-alg,player-alg,time
True,70490,a-star,a-star,39078
True,44320,a-star,a-star,32640
True,50000,a-star,a-star,27762
True,24980,a-star,a-star,17238
True,63560,a-star,a-star,41724
True,50590,a-star,a-star,21738
False,32450,a-star,a-star,37272
True,44980,a-star,a-star,17826
True,49510,a-star,a-star,22290
False,20400,a-star,a-star,25758
True,53650,a-star,a-star,27450
True,49340,a-star,a-star,27810
False,25800,a-star,a-star,26646
True,41130,a-star,a-star,28290
True,64950,a-star,a-star,27348
True,78470,a-star,a-star,23196
True,49660,a-star,a-star,26598
True,52740,a-star,a-star,18450
True,43360,a-star,a-star,20154
True,76660,a-star,a-star,35838
True,31630,a-star,a-star,16632
True,32980,a-star,a-star,15468
True,50120,a-star,a-star,40944
True,47150,a-star,a-star,22572
True,80290,a-star,a-star,31884
True,80070,a-star,a-star,27384
True,39500,a-star,a-star,17448
True,63430,a-star,a-star,26766
True,52220,a-star,a-star,23604
True,95470,a-star,a-star,36828
True,42630,a-star,a-star,18048
True,42160,a-star,a-star,16038
True,33770,a-star,a-star,23448
False,39210,a-star,a-star,17280
True,35520,a-star,a-star,14706
True,52050,a-star,a-star,25548
True,44590,a-star,a-star,20076
True,67380,a-star,a-star,29676
True,41560,a-star,a-star,28482
True,52160,a-star,a-star,23610
True,50000,a-star,a-star,22590
True,48680,a-star,a-star,22662
True,61370,a-star,a-star,31524
True,40450,a-star,a-star,22140
True,74480,a-star,a-star,42768
True,30560,a-star,a-star,17280
True,58750,a-star,a-star,28656
True,45760,a-star,a-star,44058
True,47090,a-star,a-star,33024
True,51080,a-star,a-star,29172
True,39110,a-star,a-star,15036
True,40310,a-star,a-star,18678
False,54210,a-star,a-star,20694
True,70610,a-star,a-star,31818
True,65390,a-star,a-star,33324
True,52850,a-star,a-star,24714
True,43310,a-star,a-star,24696
True,95470,a-star,a-star,38862
False,77700,a-star,a-star,44226
False,42020,a-star,a-star,19716
False,57060,a-star,a-star,30768
False,64650,a-star,a-star,36054
True,38400,a-star,a-star,16290
False,83280,a-star,a-star,39066
True,35680,a-star,a-star,17928
True,65180,a-star,a-star,41220
True,59580,a-star,a-star,26466
False,76540,a-star,a-star,28644
True,35690,a-star,a-star,30528
True,51390,a-star,a-star,24534
False,41780,a-star,a-star,15666
True,34570,a-star,a-star,17376
True,53500,a-star,a-star,23610
True,32870,a-star,a-star,30882
